name,prompt,negative_prompt
NEg::Anatomy,,"((((ugly)))),(((duplicate))),((morbid)),((mutilated)),[out of frame],extra fingers,mutated hands,((poorly drawn hands)),((poorly drawn face)),(((mutation))),(((deformed))),blurry,((bad anatomy)),(((bad proportions))),((extra limbs)),cloned face,(((disfigured))),gross proportions,(malformed limbs),((missing arms)),((missing legs)),(((extra arms))),(((extra legs))),(fused fingers),(too many fingers),(((long neck))),"
NEg::text,,"text, watermark, font, signature,"
NEg::BadVision,,"clothes, underwear, penis , dick, dildo, child, childlike, (monochrome:1.3), (oversaturated:1.3), bad hands, lowers, 3d render, cartoon, long body, ((blurry)), duplicate, ((duplicate body parts)), [wrong|anatomy], (disfigured), (poorly drawn), (extra limbs), fused fingers, extra fingers, (twisted), malformed hands, ((((mutated hands and fingers)))), contorted, conjoined, ((missing limbs)), logo, signature, text, words, low res, boring, mutated, artifacts, bad art, gross, ugly, poor quality, low quality, kid, missing asshole, (bad_prompt_version2:0.8) <bad-hands-5><bad_prompt_version2>by < bad-artist>by < bad-artist-anime> EasyNegative rmadanegative4_sd15-neg.pt, bad-hands-5.pt"
NEg::Default_Negative,,"canvas frame, (high contrast:1.2), (over saturated:1.2), (glossy:1.1), cartoon, 3d, ((disfigured)), ((bad art)), ((b&w)), blurry, ((bad anatomy)), (((bad proportions))), ((extra limbs)), cloned face, (((disfigured))), extra limbs, (bad anatomy), gross proportions, (malformed limbs), ((missing arms)), ((missing legs)), (((extra arms))), (((extra legs))), mutated hands, (fused fingers), (too many fingers), (((long neck))), Photoshop, video game, ugly, tiling, poorly drawn hands, 3d render"
NEg::Default_Negative (Low Token),,"lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry"
NEg::Default_Negative (sfw),,"NSFW, Cleavage, Pubic Hair, Nudity, Naked, Au naturel, Watermark, Text, censored, deformed, bad anatomy, disfigured, poorly drawn face, mutated, extra limb, ugly, poorly drawn hands, missing limb, floating limbs, disconnected limbs, disconnected head, malformed hands, long neck, mutated hands and fingers, bad hands, missing fingers, cropped, worst quality, low quality, mutation, poorly drawn, huge calf, bad hands, fused hand, missing hand, disappearing arms, disappearing thigh, disappearing calf, disappearing legs, missing fingers, fused fingers, abnormal eye proportion, Abnormal hands, abnormal legs, abnormal feet,  abnormal fingers"
NEg::Fixers,,"nfixer, nrealfixer, nartfixer,"
NEg::QR,,"Negative prompt: paintings, sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, age spot, glans, nsfw, nipples, (((necklace))), (worst quality, low quality:1.2), watermark, username, signature, text, multiple breasts, lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, bad feet, single color, ((((ugly)))), (((duplicate))), ((morbid)), ((mutilated)), extra fingers, mutated hands, ((poorly drawn hands)), ((poorly drawn face)), (((mutation))), (((deformed))), ((ugly)), blurry, ((bad anatomy)), (((bad proportions))), ((extra limbs)), (((disfigured))), (bad anatomy), gross proportions, (malformed limbs), ((missing arms)), (missing legs), (((extra arms))), (((extra legs))), mutated hands,(fused fingers), (too many fingers), (((long neck))), (bad body perspect:1.1)"
NEgModel::NegDreamshaper,,BadDream  UnrealisticDream
NEgModel::NegPhoton,,"cartoon, painting, illustration, (worst quality, low quality, normal quality:2)"
NEgModel::Epic,,"asian, chinese, lowres, text, error, cropped, worst quality, low quality, jpeg artifacts, ugly, duplicate, morbid, mutilated, out of frame, extra fingers, mutated hands, poorly drawn hands, poorly drawn face, mutation, deformed, blurry, dehydrated, bad anatomy, bad proportions, extra limbs, cloned face, disfigured, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, fused fingers, too many fingers, long neck, username, watermark, signature"
NEgModel::Dreamshaper,,"BadDream, UnrealisticDream"
NEgModel::Photon,,"cartoon, painting, illustration, (worst quality, low quality, normal quality:2)"
NEgModel::RealisticVision,,"(deformed iris, deformed pupils, semi-realistic, cgi, 3d, render, sketch, cartoon, drawing, anime:1.4),text,close up,cropped,out of frame,worst quality,low quality,jpeg artifacts,ugly,duplicate,morbid,mutilated,extra fingers,mutated hands,poorly drawn hands,poorly drawn face,mutation,deformed,blurry,dehydrated,bad anatomy,bad proportions,extra limbs,cloned face,disfigured,gross proportions,malformed limbs,missing arms,missing legs,extra arms,extra legs,fused fingers,too many fingers,long neck,"
NEgModel::RevAnimated,,"(deformed iris, deformed pupils, bad eyes, semi-realistic:1.4) (bad-image-v2-39000, bad_prompt_version2, bad-hands-5, EasyNegative, NG_DeepNegative_V1_4T, bad-artist-anime:0.7),(worst quality, low quality:1.3),(depth of field, blurry:1.2),(greyscale, monochrome:1.1),nose,cropped,lowres,text,jpeg artifacts,signature,watermark,username,blurry,artist name,trademark,watermark,title,(tan, muscular, loli, petite, child, infant, toddlers, chibi, sd character:1.1),multiple view,Reference sheet,long neck,"
NEgModel::RunFX,,"plain background, boring, plain, standard, homogenous, uncreative, unattractive, opaque, grayscale, monochrome, distorted details, low details, grains, grainy, foggy, dark, blurry, portrait, oversaturated, low contrast, underexposed, overexposed, low-res, low quality, close-up, macro, surreal, multiple views, multiple angles"
NEgModel::Illuminutty_fixers,,"illuminutty_nartfixer, illuminutty_nfixer, illuminutty_nrealfixer"
PHOTO::Black and White Film Noir,"(b&w, Monochromatic, Film Photography:1.3),  Photorealistic, Hyperrealistic, Hyperdetailed, film noir, analog style, soft lighting, subsurface scattering, realistic, heavy shadow, masterpiece, best quality, ultra realistic, 8k, golden ratio, Intricate, High Detail, film photography, soft focus",
PHOTO::Original Photo Style,"Photorealistic, Hyperrealistic, Hyperdetailed, analog style, detailed skin, matte skin, soft lighting, subsurface scattering, realistic, heavy shadow, masterpiece, best quality, ultra realistic, 8k, golden ratio, Intricate, High Detail, film photography, soft focus",
PHOTO::Professional Scenic Photographs,"long shot scenic professional photograph of {prompt}, perfect viewpoint, highly detailed, wide-angle lens, hyper realistic, with dramatic sky, polarizing filter, natural lighting, vivid colors, everything in sharp focus, HDR, UHD, 64K",
PHOTO::Realistic Photo Portraits,"RAW candid cinema, 16mm, color graded portra 400 film, remarkable color, ultra realistic, textured skin, remarkable detailed pupils, realistic dull skin noise, visible skin detail, skin fuzz, dry skin, shot with cinematic camera",
PosModel::Protogen53,"modelshoot style, analog style, mdjrny-v4 style",
PosModel::Pulp,"sd-pulp, dime mystery, horror stories, startling mystery, terror tales, thrilling mystery, uncanny tales, vice squad detective, spicy adventure, dime detective, detective short stories,",
PosModel::RealisticVision,"RAW photo, subject, (high detailed skin:1.2), 8k uhd, dslr, soft lighting, high quality, film grain, Fujifilm XT3","(deformed iris, deformed pupils, semi-realistic, cgi, 3d, render, sketch, cartoon, drawing, anime), text, cropped, out of frame, worst quality, low quality, jpeg artifacts, ugly, duplicate, morbid, mutilated, extra fingers, mutated hands, poorly drawn hands, poorly drawn face, mutation, deformed, blurry, dehydrated, bad anatomy, bad proportions, extra limbs, cloned face, disfigured, gross proportions, malformed limbs, missing arms, missing legs, extra arms, extra legs, fused fingers, too many fingers, long neck, UnrealisticDream"
PosModel::Protogen V22 Anime,modelshoot style,
PosModel::Protogen Infinity,"modelshoot style, mdjrny-v4 style, nousr robot, nvinkpunk, snthwve style, charliebo artstyle, holliemengert artstyle, marioalberti artstyle, pepelarraz artstyle, andreasrocha artstyle, jamesdaly artstyle, elden ring style, postapocalypse, knollingcase, swpunk, synthwave, cyborgdiffusion",
PosModel::COLOR01_max_prompt,"COLR_001,(SUBJECT), coloring book illustration, black and white, vector line art, no shades, black lines only, (((white background))), coloring book, line art, high resolution, black and white, colorless","nfixer, ((watermark)), (text), color, shading, gradient, shadows, transparency, noisy, blurred"
PROMPTS::Forest impossible bottle,"An intricate jungle minitown landscape trapped in a wide bottle,atmospheric oliva lighting,on the table,4k UHD,dark vibes,hyper detailed,vibrant colours forest background,epic composition,octane render,sharp focus,high resolution isometric,","semi-realistic,cgi,sketch,cartoon,drawing,( out of frame:1.1),worst quality,low quality,jpeg artifacts,poorly drawn,"
PROMPTS::Terrarium,"spherical Terrarium, abstract dream, flower, brushes, ivy, foliage, wild, orb, fantasy, complex, gemstone, highly detailed, intricate, elaborate, octane render, 4k HDR, colorful, fractal, black background, eco system, glowing, reflection, crepuscular rays, luminescence","monotone, boring, watermark, text, overexposed, simple, minimalist"
PROMPTS::Silhouette wallpapers,"Multiple layers of silhouette {object1}, with silhouette of {object2}, sharp edges, at sunset, with heavy fog in air, vector style, horizon silhouette Landscape wallpaper by Alena Aenami, firewatch game style, vector style background",
PROMPTS::Chinese landscape,"(Chinese landscape), (Zen, Amy Sol style), (summer, big green trees, cicadas, sunshine), cover art with light abstraction, abstract, simple vector art, contemporary Chinese art, color gradients, soft color palettes, layered forms, whimsical animation, style Ethereal abstract, 4K",duplicate
PROMPTS::Galaxy Bottle,glass bottle sitting on top of a table| a photorealistic painting| pexels| conceptual art| stars and galaxies| highly detailed perfect render| light effect| modern fantasy| glittering multiversal ornaments| universe in a grain of sand| photo manipulation| beautiful composition,"nfixer, nrealfixer,"
SDXL::3D model,"professional 3d model {prompt} . octane render, highly detailed, volumetric, dramatic lighting","ugly, deformed, noisy, low poly, blurry, painting"
SDXL::analog film,"analog film photo {prompt} . faded film, desaturated, 35mm photo, grainy, vignette, vintage, Kodachrome, Lomography, stained, highly detailed, found footage","painting, drawing, illustration, glitch, deformed, mutated, cross-eyed, ugly, disfigured"
SDXL::Anime,"anime artwork {prompt} . anime style, key visual, vibrant, studio anime,  highly detailed","photo, deformed, black and white, realism, disfigured, low contrast"
SDXL::Cinematic,"cinematic film still {prompt} . shallow depth of field, vignette, highly detailed, high budget, bokeh, cinemascope, moody, epic, gorgeous, film grain, grainy","anime, cartoon, graphic, text, painting, crayon, graphite, abstract, glitch, deformed, mutated, ugly, disfigured"
SDXL::comic book,"comic {prompt} . graphic illustration, comic art, graphic novel art, vibrant, highly detailed","photograph, deformed, glitch, noisy, realistic, stock photo"
SDXL::Craft clay,"play-doh style {prompt} . sculpture, clay art, centered composition, Claymation","sloppy, messy, grainy, highly detailed, ultra textured, photo"
SDXL::Digital Art,"concept art {prompt} . digital artwork, illustrative, painterly, matte painting, highly detailed","photo, photorealistic, realism, ugly"
SDXL::Enhance,"breathtaking {prompt} . award-winning, professional, highly detailed","ugly, deformed, noisy, blurry, distorted, grainy"
SDXL::Fantasy,"ethereal fantasy concept art of  {prompt} . magnificent, celestial, ethereal, painterly, epic, majestic, magical, fantasy art, cover art, dreamy","photographic, realistic, realism, 35mm film, dslr, cropped, frame, text, deformed, glitch, noise, noisy, off-center, deformed, cross-eyed, closed eyes, bad anatomy, ugly, disfigured, sloppy, duplicate, mutated, black and white"
SDXL::Isometric,"isometric style {prompt} . vibrant, beautiful, crisp, detailed, ultra detailed, intricate","deformed, mutated, ugly, disfigured, blur, blurry, noise, noisy, realistic, photographic"
SDXL::Line Art,"line art drawing {prompt} . professional, sleek, modern, minimalist, graphic, line art, vector graphics","anime, photorealistic, 35mm film, deformed, glitch, blurry, noisy, off-center, deformed, cross-eyed, closed eyes, bad anatomy, ugly, disfigured, mutated, realism, realistic, impressionism, expressionism, oil, acrylic"
SDXL::LowPoly,"low-poly style {prompt} . low-poly game art, polygon mesh, jagged, blocky, wireframe edges, centered composition","noisy, sloppy, messy, grainy, highly detailed, ultra textured, photo"
SDXL::Neon Punk,"neonpunk style {prompt} . cyberpunk, vaporwave, neon, vibes, vibrant, stunningly beautiful, crisp, detailed, sleek, ultramodern, magenta highlights, dark purple shadows, high contrast, cinematic, ultra detailed, intricate, professional","painting, drawing, illustration, glitch, deformed, mutated, cross-eyed, ugly, disfigured"
SDXL::Origami,"origami style {prompt} . paper art, pleated paper, folded, origami art, pleats, cut and fold, centered composition","noisy, sloppy, messy, grainy, highly detailed, ultra textured, photo"
SDXL::Photography,"cinematic photo {prompt} . 35mm photograph, film, bokeh, professional, 4k, highly detailed","drawing, painting, crayon, sketch, graphite, impressionist, noisy, blurry, soft, deformed, ugly"
SDXL::Pixel Art,"pixel-art {prompt} . low-res, blocky, pixel art style, 8-bit graphics","sloppy, messy, blurry, noisy, highly detailed, ultra textured, photo, realistic"
SDXL::Texture,texture {prompt} top down close-up,"ugly, deformed, noisy, blurry"
SIDOROV::Logo 🖋,"{prompt},(((text))),((color)),(shading),background,noise,dithering,gradient,detailed,out of frame,ugly,error,Illustration, watermark,(((centered vector graphic logo))),negative space,stencil,trending on dribbble","(((text))),((color)),(shading),background,noise,dithering,gradient,detailed,out of frame,ugly,error,Illustration, watermark"
SIDOROV::Drawing 🖋,"{prompt},(((text))),((color)),(shading),background,noise,dithering,gradient,detailed,out of frame,ugly,error,Illustration, watermark,(((cartoon graphic))),childrens book,lineart,negative space","(((text))),((color)),(shading),background,noise,dithering,gradient,detailed,out of frame,ugly,error,Illustration, watermark"
SIDOROV::Artistic 🖋,"{prompt},(((text))),((color)),(shading),background,noise,dithering,gradient,detailed,out of frame,ugly,error,Illustration, watermark,(((artistic monochrome painting))),precise lineart,negative space","(((text))),((color)),(shading),background,noise,dithering,gradient,detailed,out of frame,ugly,error,Illustration, watermark"
SIDOROV::Tattoo 🖋,"{prompt},(((text))),((color)),(shading),background,noise,dithering,gradient,detailed,out of frame,ugly,error,Illustration, watermark,(((tattoo template, ink on paper))),uniform lighting,lineart,negative space","(((text))),((color)),(shading),background,noise,dithering,gradient,detailed,out of frame,ugly,error,Illustration, watermark"
SIDOROV::Gothic 🖋,"{prompt},(((text))),((color)),(shading),background,noise,dithering,gradient,detailed,out of frame,ugly,error,Illustration, watermark,(((gothic ink on paper))),H.P. Lovecraft,Arthur Rackham","(((text))),((color)),(shading),background,noise,dithering,gradient,detailed,out of frame,ugly,error,Illustration, watermark"
SIDOROV::Anime 🖋,"{prompt},(((text))),((color)),(shading),background,noise,dithering,gradient,detailed,out of frame,ugly,error,Illustration, watermark,(((clean ink anime illustration))),Studio Ghibli,Makoto Shinkai,Hayao Miyazaki,Audrey Kawasaki","(((text))),((color)),(shading),background,noise,dithering,gradient,detailed,out of frame,ugly,error,Illustration, watermark"
SIDOROV::Cartoon 🖋,"{prompt},(((clean ink funny comic cartoon illustration)))","(((text))),((color)),(shading),background,noise,dithering,gradient,detailed,out of frame,ugly,error,Illustration, watermark"
SIDOROV::Sticker 🖋,"{prompt},(Die-cut sticker, kawaii sticker,contrasting background, illustration minimalism, vector, pastel colors)","(((text))),((color)),(shading),background,noise,dithering,gradient,detailed,out of frame,ugly,error,Illustration, watermark"
SIDOROV::Gold Pendant 🖋,"{prompt},gold dia de los muertos pendant, intricate 2d vector geometric, cutout shape pendant, blueprint frame lines sharp edges, svg vector style, product studio shoot","(((text))),((color)),(shading),background,noise,dithering,gradient,detailed,out of frame,ugly,error,Illustration, watermark"
SIDOROV::neutral background,"((neutral background)),{prompt}",
SIDOROV::background ⬛,"{prompt}, ((neutral black background))",
SIDOROV::background ⬜,"{prompt}, ((neutral white background))",
SIDOROV::Illustration 🖋,"{prompt},(((text))),((color)),(shading),background,noise,dithering,gradient,detailed,out of frame,ugly,error,Illustration, watermark,(((vector graphic))),medium detail","(((text))),((color)),(shading),background,noise,dithering,gradient,detailed,out of frame,ugly,error,Illustration, watermark"
STYLE::Anime,"(Anime Scene, Toonshading, Satoshi Kon, Ken Sugimori, Hiromu Arakawa:1.2), (Anime Style, Manga Style:1.3), Low detail, sketch, concept art, line art, webtoon, manhua, hand drawn, defined lines, simple shades, minimalistic, High contrast, Linear compositions, Scalable artwork, Digital art, High Contrast Shadows, glow effects, humorous illustration, big depth of field, Masterpiece, colors, concept art, trending on artstation, Vivid colors, dramatic",
STYLE::CleanArt,"coloring book, clean line art, no background, white, black, coloring book, sketchbook, free lines, on paper, A blend of comic book art and lineart full of natural color,masterpiece, high-resolution, acrylic painting, trending on Pixiv fan box, palette knife, and brush strokes, colors, two-dimensional, planar vector, T-shirt design, stickers, colorful splashes, and T-shirt design, soft tetrad color, vector art, fantasy art, watercolor effect, Adobe Illustrator, hand-painted, digital painting, low polygon, soft lighting, aerial view, isometric style, retro aesthetics, 8K resolution","colored, duplicate, blurry, abstract, disfigured, deformed, cartoon, animated, toy, figure, framed, 3d, bad art, poorly drawn, extra limbs, close up, b&w, weird colors, blurry, watermark, blur haze, 2 heads, long neck, watermark, elongated body, cropped image, out of frame, draft, deformed hands, twisted fingers, double image, malformed hands, multiple heads, extra limb, ugly, poorly drawn hands, missing limb, cut-off, over satured, grain, lowères, bad anatomy, poorly drawn face, mutation, mutated, floating limbs, disconnected limbs, out of focus, long body, disgusting, extra fingers, groos proportions, missing arms, mutated hands, cloned face, missing legs, ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, extra limbs, disfigured, deformed, body out of frame, blurry, bad anatomy, blurred, watermark, grainy, signature, cut off, draft, deformed, blurry, bad anatomy, disfigured, poorly drawn face, mutation, no bluelish, no blue"
STYLE::Cute Creatures,"3d fluffy {prompt}, closeup cute and adorable, cute big circular reflective eyes, long fuzzy fur, Pixar render, unreal engine cinematic smooth, intricate detail, cinematic",
STYLE::Digital/Oil Painting,"(Extremely Detailed Oil Painting:1.2), glow effects, godrays, Hand drawn, render, 8k, octane render, cinema 4d, blender, dark, atmospheric 4k ultra detailed, cinematic sensual, Sharp focus, humorous illustration, big depth of field, Masterpiece, colors, 3d octane render, 4k, concept art, trending on artstation, hyperrealistic, Vivid colors, extremely detailed CG unity 8k wallpaper, trending on ArtStation, trending on CGSociety, Intricate, High Detail, dramatic, absurdes",
STYLE::Geometric Vector,"Detailed complex geometric vector art of (subject), frontal close shot, abstract background, evocative, high contrast, low saturation, flat colors.",
STYLE::Ghibli,"(Studio ghibli style, Art by Hayao Miyazaki:1.2), Anime Style, Manga Style, Hand drawn, cinematic, Sharp focus, humorous illustration, big depth of field, Masterpiece, concept art, trending on artstation, Vivid colors, Simplified style, trending on ArtStation, trending on CGSociety, Intricate, Vibrant colors, Soft Shading, Simplistic Features, Sharp Angles, Playful",
STYLE::Indie Game,"Indie game art,({prompt}), (Vector Art, Borderlands style, Arcane style, Cartoon style), Line art, Disctinct features, Hand drawn, Technical illustration, Graphic design, Vector graphics, High contrast, Precision artwork, Linear compositions, Scalable artwork, Digital art, cinematic sensual, Sharp focus, humorous illustration, big depth of field, Masterpiece, trending on artstation, Vivid colors, trending on ArtStation, trending on CGSociety, Intricate, Low Detail, dramatic",
STYLE::Isometric Rooms,"Tiny cute isometric {prompt} in a cutaway box, soft smooth lighting, soft colors, 100mm lens, 3d blender render",
STYLE::LOGO,"a logo of {company industry}, {some objects}, {colors}, modern, minimalism, vector art, 2d, best quality, centered","low quality, worst quality, bad composition, extra digit, fewer digits, text, inscription, watermark, label, asymmetric"
STYLE::LineArt-Vector-ColoringBook,"coloring book, clean line art, no background, white, black, coloring book, sketchbook, free lines, on paper, A blend of comic book art and lineart full of natural color,masterpiece, high-resolution, acrylic painting, trending on Pixiv fan box, palette knife, and brush strokes, colors, two-dimensional, planar vector, T-shirt design, stickers, colorful splashes, and T-shirt design, soft tetrad color, vector art, fantasy art, watercolor effect, Alphonse Mucha, Adobe Illustrator, hand-painted, digital painting, low polygon, soft lighting, aerial view, isometric style, retro aesthetics, 8K resolution","colored, duplicate, blurry, abstract, disfigured, deformed, cartoon, animated, toy, figure, framed, 3d, bad art, poorly drawn, extra limbs, close up, b&w, weird colors, blurry, watermark, blur haze, 2 heads, long neck, watermark, elongated body, cropped image, out of frame, draft, deformed hands, twisted fingers, double image, malformed hands, multiple heads, extra limb, ugly, poorly drawn hands, missing limb, cut-off, over satured, grain, lowères, bad anatomy, poorly drawn face, mutation, mutated, floating limbs, disconnected limbs, out of focus, long body, disgusting, extra fingers, groos proportions, missing arms, mutated hands, cloned face, missing legs, ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, extra limbs, disfigured, deformed, body out of frame, blurry, bad anatomy, blurred, watermark, grainy, signature, cut off, draft, deformed, blurry, bad anatomy, disfigured, poorly drawn face, mutation, no bluelish, no blue

GTA,""person"""" in GTA vice city"
STYLE::Manga,"(Manga Style, Yusuke Murata, Satoshi Kon, Ken Sugimori, Hiromu Arakawa), Pencil drawing, (B&W:1.2), Low detail, sketch, concept art, Anime style, line art, webtoon, manhua, chalk, hand drawn, defined lines, simple shades, simplistic, manga page, minimalistic, High contrast, Precision artwork, Linear compositions, Scalable artwork, Digital art, High Contrast Shadows",
STYLE::Modern Collage,"A (SUBJECT) made with mid-century modern collage, made of random shapes cut from fashion and science magazines and text books, of 2022, trending on instagram, by Dan Mumford and Junji Ito and Daniel Gerhartz, unreal 5, DAZ, hyperrealistic, octane render, cosplay, RPG portrait, dynamic lighting, intricate detail, summer vibrancy",
STYLE::Pixel,pixelart,
STYLE::Space Hologram,"hologram of {prompt} floating in space, a vibrant digital illustration, dribbble, quantum wavetracing, black background, behance hd",
STYLE::Vector Illustrations,"Vector art, Vivid colors, Clean lines, Sharp edges, Minimalist, Precise geometry, Simplistic, Smooth curves, Bold outlines, Crisp shapes, Flat colors, Illustration art piece, High contrast shadows, Technical illustration, Graphic design, Vector graphics, High contrast, Precision artwork, Linear compositions, Scalable artwork, Digital art",
STYLE::newpapers,"npzw, 
npzw, (text), monochrome, 
npzw, (text), sepia",
STYLE::GTA,"GTA, {prompt},  in GTA vice city,((gta 5 covert art)),celshading,highly detailed,roxie vizcarra,anthony macbain,stephen bliss,miami retrowave,pastel neon blink blue purple green yellow colors,trending on artstation","text,watermark,font,signature,,((((ugly)))),(((duplicate))),((morbid)),((mutilated)),[out of frame],extra fingers,mutated hands,((poorly drawn hands)),((poorly drawn face)),(((mutation))),(((deformed))),blurry,((bad anatomy)),(((bad proportions))),((extra limbs)),cloned face,(((disfigured))),gross proportions,(malformed limbs),((missing arms)),((missing legs)),(((extra arms))),(((extra legs))),(fused fingers),(too many fingers),(((long neck)))"
