name,prompt,negative_prompt
"Instaphoto Ethical","Photography by Dina Goldstein, {prompt} wearing ethical fashion. Sustainable, fair trade, organic materials, eco-friendly","fast fashion, synthetic, mass-produced, cheap"
"Instaphoto Business Casual","Photography by Richard Avedon, {prompt} dressed in business casual. Semi-formal, tailored, smart, professional","sporty, casual, grunge, punk"
"Instaphoto Beachwear","Photography by Slim Aarons, {prompt} in beachwear. Bikinis, cover-ups, sandals, straw hats, light fabrics","winter wear, formal, business, structured"
"Instaphoto Activewear","Photography by Rankin, {prompt} in stylish activewear. Sporty, comfortable, functional, athleisure","evening wear, formal, preppy, boho"
"Instaphoto Country","Photography by Annie Leibovitz, {prompt} sporting country style. Western, cowboy boots, plaid, denim","gothic, punk, high fashion, glamorous"
"Instaphoto Military","Photography by Platon, {prompt} wearing military-inspired fashion. Camouflage, khaki, structured, badges","boho, glamorous, preppy, beachwear"
"Instaphoto Kawaii","Photography by Mika Ninagawa, {prompt} in Kawaii style. Cute, pastel, girly, anime-inspired, frilly","gothic, punk, grunge, minimalist"
"Instaphoto Lolita","Photography by Tim Walker, {prompt} in a Lolita ensemble. Victorian-inspired, frilly, bows, lace, layered","minimalist, sporty, casual, business"
"Instaphoto Formal","Photography by Helmut Newton, {prompt} dressed in formal wear. Black tie, tuxedo, evening gown, polished","casual, sporty, grunge, beachwear"
"Instaphoto Tomboy","Photography by Ellen von Unwerth, {prompt} rocking a tomboy look. Androgynous, loose, sneakers, caps","glamorous, feminine, boho, preppy"
"Instaphoto Normcore","Photography by Juergen Teller, {prompt} dressed in normcore. Unpretentious, casual, basics, comfortable","high fashion, glamorous, punk, gothic"
"Instaphoto Artistic","Photography by Cindy Sherman, {prompt} in an artistic outfit. Creative, unique, expressive, handmade","preppy, conservative, business, traditional"
"Instaphoto Genderless","Photography by David Bailey, {prompt} in genderless fashion. Androgynous, neutral, modern, unisex","feminine, masculine, glam, preppy"
"Instaphoto Monochromatic","Photography by Sebastião Salgado, {prompt} in a monochromatic look. Single color, sleek, modern, minimalist","colorful, vibrant, patterned, boho"
"Instaphoto Mod","Photography by David Bailey, {prompt} dressed in Mod style. '60s influence, A-line, geometric patterns, bold","boho, grunge, minimalist, normcore"
"Instaphoto Harajuku","Photography by Mika Ninagawa, {prompt} in Harajuku style. Japanese street fashion, eclectic, colorful, anime","conservative, preppy, minimalist, business"
"Instaphoto Cyberpunk","Photography by Tim Walker, {prompt} in a cyberpunk outfit. Futuristic, dystopian, metallic, neon","vintage, retro, classic, boho"
"Instaphoto Rave","Photography by Rankin, {prompt} in rave wear. Bright colors, neon, sequins, fur","business casual, preppy, conservative, minimalist"
"Instaphoto Hippy","Photography by Elliott Landy, {prompt} in hippy style. '70s influence, tie-dye, bell-bottoms, fringe","preppy, conservative, formal, modern"
"Instaphoto Skater","Photography by Hugh Holland, {prompt} rocking skater style. Casual, sneakers, baggy, sporty, laid-back","formal, glamorous, high fashion, preppy"
"Instaphoto Pin-Up","Photography by Bunny Yeager, {prompt} in a pin-up style. Retro, '50s influence, feminine, curves","gothic, grunge, sporty, tomboy"
"Instaphoto Nautical","Photography by Slim Aarons, {prompt} in a nautical outfit. Sailor-inspired, stripes, navy, white, red","gothic, punk, grunge, boho"
"Instaphoto Futuristic","Photography by Syd Mead, {prompt} in futuristic fashion. Metallic, geometric, avant-garde, high-tech","vintage, classic, traditional, retro"
"Instaphoto Eccentric","Photography by David LaChapelle, {prompt} in an eccentric ensemble. Unique, quirky, stand-out, individualistic","traditional, classic, conservative, minimalist"
"Instaphoto Tailored","Photography by Patrick Demarchelier, {prompt} in a tailored suit. Formal, professional, sleek, well-fitted","casual, relaxed, oversized, loose"
"Instaphoto Sustainable","Photography by Yann Arthus-Bertrand, {prompt} in sustainable fashion. Eco-friendly, organic, recycled materials, fair trade","fast fashion, synthetic, cheap, disposable"
"Instaphoto Traditional","Photography by Steve McCurry, {prompt} in a traditional outfit. Ethnic, regional, cultural, heritage","modern, futuristic, western, mainstream"
"Instaphoto Candid","Photography by Dorothea Lange, {prompt} in a candid moment. Unposed, natural, spontaneous, real-life situation","posed, artificial, studio shot, planned"
"Instaphoto Portrait","Portrait shot by Annie Leibovitz, {prompt}. Close-up, eyes on camera, clear, sharp","wide shot, landscape, blurred, candid"
"Instaphoto Lifestyle","Lifestyle photo by Brandon Stanton, {prompt}. Everyday activities, real-life situations, relatable","fantasy, staged, surreal, unrealistic"
"Instaphoto Editorial","Editorial shot by Mario Sorrenti of {prompt}. Fashion-forward, styled, professional, magazine-ready","casual, candid, unstyled, amateur"
"Instaphoto Glamour","Glamour shot by Helmut Newton of {prompt}. Beauty focused, make-up, lighting, seductive","natural, minimal, candid, unglamorous"
"Instaphoto Fitness","Fitness photo by Arnold Schwarzenegger of {prompt}. Athletic, workout gear, active, strong","laid back, casual, non-athletic, inactive"
"Instaphoto Boudoir","Boudoir shot by David Bellemere of {prompt}. Intimate, sensual, classy, tasteful","public, conservative, modest, non-intimate"
"Instaphoto Silhouette","Silhouette photo by Fan Ho of {prompt}. Dramatic, backlighting, mysterious, creative","frontlit, clear, detailed, revealing"
"Instaphoto Maternity","Maternity shot by Anne Geddes of {prompt}. Pregnancy, baby bump, motherhood, glowing","non-pregnant, childless, pre-pregnancy, post-pregnancy"
"Instaphoto Black and White","Black and white photo by Ansel Adams of {prompt}. Monochrome, timeless, artistic, dramatic","color, vibrant, modern, digital"
"Instaphoto Pin-Up","Pin-up style photo by Alberto Vargas of {prompt}. Retro, feminine, seductive, fun","modern, conservative, modest, non-vintage"
"Instaphoto Headshot","Headshot by George Hurrell of {prompt}. Professional, clear, neutral background, focused","full body, casual, distracting background, unfocused"
"Instaphoto Full Body","Full body shot by Herb Ritts of {prompt}. Whole outfit, clear, sharp, balanced","close up, cropped, blurry, unbalanced"
"Instaphoto High Fashion","High fashion photo by Irving Penn of {prompt}. Designer clothes, dramatic poses, avant-garde","casual, candid, natural, mainstream fashion"
"Instaphoto Business","Business photo by Richard Avedon of {prompt}. Professional attire, workplace setting, confident","casual, relaxed, non-work, insecure"
"Instaphoto Beach","Beach photo by Slim Aarons of {prompt}. Swimwear, sand, ocean, relaxed","urban, winter, formal, stressed"
"Instaphoto Lingerie","Lingerie shot by Ellen von Unwerth of {prompt}. Intimate apparel, sensual, feminine, seductive","outerwear, modest, masculine, non-sensual"
"Instaphoto Athletic","Athletic shot by Annie Leibovitz of {prompt}. Sportswear, action, energy, strength","leisure, inactive, weak, non-sporty"
"Instaphoto Close-up","Close-up photo by Martin Schoeller of {prompt}. Detailed, intimate, clear, personal","wide shot, distant, blurry, impersonal"
"Instaphoto Nature","Nature shot by Art Wolfe with {prompt}. Outdoors, greenery, natural light, fresh","indoor, city, artificial light, stale"
"Instaphoto Studio","Studio shot by Richard Avedon of {prompt}. Controlled lighting, plain background, clear","outdoor, natural light, busy background, unclear"
"Instaphoto Street","Street shot by Henri Cartier-Bresson of {prompt}. Urban, casual, candid, trendy","rural, formal, posed, traditional"
"Instaphoto Dance","Dance photo by Lois Greenfield of {prompt}. Movement, grace, energy, rhythm","static, clumsy, lethargic, off-beat"
"Instaphoto Vintage","Vintage style photo by Dovima of {prompt}. Retro, nostalgic, old-fashioned, timeless","modern, futuristic, trendy, transient"
"Instaphoto Low Light","Low light photo by Bill Brandt of {prompt}. Ambient, moody, dramatic, shadowy","bright, cheerful, flat, clear"
"Instaphoto Underwater","Underwater photo by David Doubilet of {prompt}. Aquatic, serene, dreamlike, floaty","land, hectic, realistic, heavy"
"Instaphoto Action","Action shot by Joe McNally of {prompt}. Movement, energy, dynamic, intense","still, calm, static, gentle"
"Instaphoto Fashion","Fashion shot by Steven Meisel of {prompt}. Trendy outfit, styled, runway-ready, chic","plain, unstyled, out of style, ordinary"
"Instaphoto Aerial","Aerial shot by Yann Arthus-Bertrand of {prompt}. Birds-eye view, grand, adventurous, stunning","ground level, confined, cautious, underwhelming"
"Instaphoto Music","Music-related shot by Jim Marshall of {prompt}. Playing an instrument, singing, energetic, passionate","quiet, uninterested, uninvolved, lackluster"
"Instaphoto Food","Food-related shot by Gordon Parks of {prompt}. Delicious, appetizing, mouth-watering, fresh","unappetizing, bland, uninviting, stale"
"Instaphoto Travel","Travel shot by Steve McCurry of {prompt}. Exotic location, cultural, adventurous, awe-inspiring","mundane, boring, familiar, uninspiring"
"Instaphoto Wedding","Wedding shot by Annie Leibovitz of {prompt}. Bride, groom, romantic, joyous","divorce, breakup, unhappy, grim"
"Instaphoto Landscape","Landscape shot by Ansel Adams of {prompt}. Vast, majestic, natural beauty, serene","crowded, urban, artificial, chaotic"
"Instaphoto Portrait","Portrait by Richard Avedon of {prompt}. Character, emotion, personality, depth","object, landscape, building, animal"
